"Title: Habitat and predator heterogeneity influence density of a declining mammal. Habitat composition (2015–2022) used in the density modelling of hedgehogs at Brackenhurst, Southwell, England. X and Y indicate the longitude/1000 and latitude/1000 (EPSG:27700) of the centroid of the 50 x 50 m grid cell, respectively; d2build and d2badger indicate euclidean distance (m) from the centroid of the 50 x 50 m grid cell to the nearest building and to the nearest badger sett, respectively; edge_length refers to edge density, the total length (m) of all types of edges within each  50 x 50 m grid cell. BUILDING, BADGER, and EDGE indicate the standardised z-score values of d2build,  d2badger, and edge_length, respectively. SOIL: Soil types (categorical: type 0, low permeability, and type 1, high permeability). LANDUSE: Land use (categorical: 0, arable; 1, amenity; 2, pasture).",,,,,,,,,
X,Y,d2build,d2badger,edge_length,BUILDING,BADGER,EDGE,SOIL,LANDUSE
470.5009048,352.9390519,489.054352,519.211986,19.877193,0.717774695,-0.236172509,-0.005815873,0,Arable
470.5509048,352.9390519,525.386335,546.508717,0,0.866842168,-0.135209953,-0.833274126,0,Arable
470.6009048,352.9390519,563.815078,576.855674,39.612152,1.024512497,-0.022965511,0.815721333,0,Arable
470.6509048,352.9390519,603.940464,609.797638,0.504536,1.189144026,0.098877096,-0.812271059,0,Pasture
470.7009048,352.9390519,645.446145,644.93709,21.140417,1.359438803,0.228847563,0.046770256,0,Pasture
470.7509048,352.9390519,688.082384,681.934411,1.77E-02,1.534372181,0.36568974,-0.832536876,0,Pasture
470.8009048,352.9390519,719.930002,720.503457,15.091524,1.665040635,0.508345263,-0.205036208,0,Pasture
470.8509048,352.9390519,725.86777,760.405104,20.647923,1.689402862,0.655929685,0.026268426,0,Pasture
470.9009048,352.9390519,735.165852,801.440337,9.872947,1.727552215,0.807706907,-0.422277898,0,Pasture
469.1009048,352.8890519,543.634245,483.616742,19.537687,0.94171201,-0.367828816,-0.019949026,0,Arable
469.1509048,352.8890519,494.650833,437.465169,0.430862,0.740736648,-0.53852987,-0.815337956,0,Arable
469.2009048,352.8890519,445.893151,392.258072,0,0.540687434,-0.705737586,-0.833274126,0,Arable
469.2509048,352.8890519,397.444281,348.363339,20.72899,0.341905259,-0.868091255,0.02964318,0,Arable
469.3009048,352.8890519,349.432699,306.345617,0,0.144917244,-1.023502414,-0.833274126,0,Arable
469.3509048,352.8890519,302.066989,267.092228,0,-0.049420806,-1.16868912,-0.833274126,0,Arable
469.4009048,352.8890519,255.706318,232.010515,0,-0.239635258,-1.298446028,-0.833274126,0,Arable
469.4509048,352.8890519,211.01416,203.271986,20.415597,-0.423003919,-1.404741369,0.016597036,0,Arable
469.5009048,352.8890519,169.316953,183.875287,0,-0.594084516,-1.476484037,-0.833274126,0,Arable
469.5509048,352.8890519,133.452184,176.920157,0,-0.741235046,-1.502209011,-0.833274126,0,Arable
469.6009048,352.8890519,109.319441,183.824272,61.724134,-0.840249928,-1.476672726,1.736210465,0,Arable
469.6509048,352.8890519,102.223455,203.179684,0,-0.86936424,-1.405082767,-0.833274126,0,Arable
469.7009048,352.8890519,84.331571,231.889209,28.513476,-0.942773334,-1.298894703,0.353699863,0,Arable
469.7509048,352.8890519,76.855262,266.95173,6.554649,-0.973448084,-1.169208781,-0.560413718,0,Arable
469.8009048,352.8890519,89.278348,306.1925,0,-0.922477069,-1.024068748,-0.833274126,0,Arable
469.8509048,352.8890519,46.852786,348.201764,39.798286,-1.096546053,-0.868688873,0.823469877,0,Arable
469.9009048,352.8890519,35.160897,392.090664,22.097945,-1.144517021,-0.706356779,0.086630769,0,Arable
469.9509048,352.8890519,57.052449,437.29362,0,-1.054697581,-0.539164379,-0.833274126,0,Arable
470.0009048,352.8890519,100.907066,483.442169,0,-0.87476529,-0.36847451,-0.833274126,0,Arable
470.0509048,352.8890519,148.692602,529.018174,0,-0.678704722,-0.199902312,-0.833274126,0,Arable
470.1009048,352.8890519,193.558623,513.76154,0,-0.494622713,-0.256332101,-0.833274126,0,Arable
470.1509048,352.8890519,236.143886,503.032415,35.107516,-0.319898489,-0.296015969,0.628200054,0,Arable
470.2009048,352.8890519,281.18131,497.12403,0,-0.135113226,-0.317869342,-0.833274126,0,Arable
470.2509048,352.8890519,312.388084,496.208617,0,-0.00707411,-0.321255185,-0.833274126,0,Arable
470.3009048,352.8890519,330.821638,500.313584,3.194229,0.068557418,-0.306072123,-0.700303078,0,Arable
470.3509048,352.8890519,355.386547,509.317557,19.040531,0.169345446,-0.272769083,-0.040644929,0,Arable
470.4009048,352.8890519,384.91069,522.967556,21.890419,0.29048085,-0.222281763,0.077991702,0,Arable
470.4509048,352.8890519,418.345408,540.911966,6.955316,0.427661059,-0.155910684,-0.54373455,0,Arable
470.5009048,352.8890519,454.829113,562.740123,24.839737,0.577351037,-0.07517477,0.200767487,0,Arable
470.5509048,352.8890519,493.686301,588.019674,25.990885,0.736779242,0.018326832,0.248688042,0,Arable
470.6009048,352.8890519,534.399481,616.326072,53.936239,0.903822448,0.123023848,1.412011981,0,Arable
470.6509048,352.8890519,576.575621,647.262326,20.669047,1.076868072,0.237447925,0.02714779,0,Pasture
470.7009048,352.8890519,619.916195,680.469844,20.864597,1.254691282,0.360272738,0.03528823,0,Pasture
470.7509048,352.8890519,664.193292,715.632517,0,1.436356983,0.490329093,-0.833274126,0,Pasture
470.8009048,352.8890519,670.122236,752.476305,0,1.460683006,0.626603396,-0.833274126,0,Pasture
470.8509048,352.8890519,676.497319,790.766262,4.339723,1.486839505,0.768226652,-0.652617872,0,Pasture
470.9009048,352.8890519,686.464445,830.302338,17.221948,1.527733894,0.914458934,-0.116349846,0,Pasture
469.1009048,352.8390519,555.374987,504.060677,22.305038,0.989883417,-0.292212731,0.095251732,0,Arable
469.1509048,352.8390519,507.52599,459.964985,0,0.793562477,-0.455309688,-0.833274126,0,Arable
469.2009048,352.8390519,460.134638,417.203078,0,0.59911922,-0.613473367,-0.833274126,0,Arable
469.2509048,352.8390519,413.358368,376.230022,20.416413,0.407199596,-0.765020615,0.016631,0,Arable
469.3009048,352.8390519,367.432164,337.697572,0,0.218767734,-0.907540781,-0.833274126,0,Arable
469.3509048,352.8390519,322.71915,302.539702,0,0.035313502,-1.037579371,-0.833274126,0,Arable
469.4009048,352.8390519,279.801545,272.067808,0,-0.140774299,-1.150285917,-0.833274126,0,Arable
