grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9
699,469.8009048,352.0890519,1,1,1,1,1,1,1,1,1
700,469.8509048,352.0890519,1,1,1,1,1,1,1,1,1
701,469.9009048,352.0890519,1,1,1,1,0,1,1,1,0
702,469.9509048,352.0890519,1,1,1,1,0,1,1,1,0
703,470.0009048,352.0890519,1,1,1,1,0,1,1,1,0
704,470.0509048,352.0890519,1,1,1,1,0,1,1,1,0
705,470.1009048,352.0890519,1,1,1,1,1,1,1,1,1
706,470.1509048,352.0890519,1,1,1,1,1,1,1,1,1
707,470.2009048,352.0890519,0,0,0,0,0,0,0,0,0
708,470.2509048,352.0890519,1,1,1,1,1,1,1,1,0
709,470.3009048,352.0890519,1,1,1,1,1,1,1,1,0
710,470.3509048,352.0890519,1,1,1,1,1,1,1,1,1
711,470.4009048,352.0890519,1,1,1,1,1,1,1,1,1
712,470.4509048,352.0890519,1,1,1,1,1,1,1,1,1
713,470.5009048,352.0890519,0,0,0,0,0,0,0,0,0
714,470.5509048,352.0890519,0,0,0,0,0,0,0,0,0
715,470.6009048,352.0890519,0,0,0,0,0,0,0,0,0
729,469.4009048,352.1390519,1,1,1,1,1,1,1,1,1
730,469.4509048,352.1390519,1,1,1,1,1,1,1,1,1
731,469.5009048,352.1390519,1,1,1,1,1,1,1,1,1
732,469.5509048,352.1390519,1,1,1,1,1,1,1,1,1
733,469.6009048,352.1390519,1,1,1,1,1,1,1,1,1
734,469.6509048,352.1390519,1,1,1,1,1,1,1,1,1
735,469.7009048,352.1390519,1,1,1,1,1,1,1,1,1
