X,Y,d2build_km,d2badger_km,edge_length_km,BUILDING,BADGER,EDGE,SOIL,LANDUSE
469.1009048,352.8390519,0.555374987,0.504060677,0.022305038,0.989883417,-0.572756537,0.095251732,0,Arable
469.1509048,352.8390519,0.50752599,0.459964985,0,0.793562477,-0.723356323,-0.833274126,0,Arable
469.2009048,352.8390519,0.460134638,0.417203078,0,0.59911922,-0.869400838,-0.833274126,0,Arable
469.2509048,352.8390519,0.413358368,0.376230022,0.020416413,0.407199596,-1.009335901,0.016631,0,Arable
469.3009048,352.8390519,0.367432164,0.337697572,0,0.218767734,-1.140935573,-0.833274126,0,Arable
469.3509048,352.8390519,0.32271915,0.302539702,0,0.035313502,-1.261010061,-0.833274126,0,Arable
469.4009048,352.8390519,0.279801545,0.272067808,0,-0.140774299,-1.36508056,-0.833274126,0,Arable
469.4509048,352.8390519,0.239645905,0.248015147,0.020427831,-0.305529962,-1.447227486,0.017106356,0,Arable
469.5009048,352.8390519,0.203890692,0.232383593,0,-0.452230988,-1.500613851,-0.833274126,0,Arable
469.5509048,352.8390519,0.175250304,0.226920152,0.00309607,-0.569740409,-1.519273113,-0.704389274,0,Arable
469.6009048,352.8390519,0.157651273,0.23234323,0.071127109,-0.641947948,-1.500751704,2.127642632,0,Arable
469.6509048,352.8390519,0.147331006,0.247939503,0.021832999,-0.684291253,-1.447485832,0.075601444,0,Arable
469.7009048,352.8390519,0.132240901,0.27196437,0.007542256,-0.746204853,-1.365433833,-0.519301116,0,Arable
469.7509048,352.8390519,0.126580962,0.302415673,0,-0.769427167,-1.261433657,-0.833274126,0,Arable
469.8009048,352.8390519,0.117561674,0.337558677,0,-0.806432647,-1.141409941,-0.833274126,0,Arable
469.8509048,352.8390519,0.089695637,0.376080419,0.045772698,-0.920764962,-1.00984684,1.07217586,0,Arable
469.9009048,352.8390519,0.084871193,0.417045684,0.03837179,-0.940559304,-0.869938386,0.764086843,0,Pasture
469.9509048,352.8390519,0.096713429,0.459801831,0,-0.891971474,-0.723913543,-0.833274126,0,Arable
470.0009048,352.8390519,0.127596009,0.503893187,0,-0.765262506,-0.573328564,-0.833274126,0,Arable
470.0509048,352.8390519,0.16795236,0.548998147,0,-0.59968334,-0.419281834,-0.833274126,0,Arable
470.1009048,352.8390519,0.212450581,0.562179934,0.009837871,-0.417110389,-0.374262145,-0.423738033,0,Arable
470.1509048,352.8390519,0.248129793,0.552392043,0.012735784,-0.270721184,-0.407690678,-0.303102225,0,Arable
470.2009048,352.8390519,0.251843277,0.547017056,0,-0.255485035,-0.426047842,-0.833274126,0,Arable
470.2509048,352.8390519,0.265106917,0.546185271,0,-0.201065286,-0.428888633,-0.833274126,0,Arable
470.3009048,352.8390519,0.286597835,0.549917304,0,-0.112889619,-0.416142641,-0.833274126,0,Arable
470.3509048,352.8390519,0.314634646,0.558121611,0.022429783,0.002143371,-0.388122516,0.10044463,0,Arable
