grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9,SO.10,SO.11,SO.12,SO.13,SO.14,sep,hab
472,469.8509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
473,469.9009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
474,469.9509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
475,470.0009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
476,470.0509048,351.7890519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Amenity
477,470.1009048,351.7890519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Pasture
478,470.1509048,351.7890519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Pasture
479,470.2009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
480,470.2509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
481,470.3009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
482,470.3509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
483,470.4009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
484,470.4509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
485,470.5009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
497,469.2009048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
498,469.2509048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
499,469.3009048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
500,469.3509048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
501,469.4009048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
502,469.4509048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
503,469.5009048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
504,469.5509048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
